accuracy,baseline,class,classifier,elapsed_sec,f1,f1_micro,f1_weighted,feature,n_test,n_train_bal,n_train_raw,pr_auc,precision,precision_micro,precision_weighted,recall,recall_micro,recall_weighted,roc_auc,support,task,task_type
0.9242040403478002,0.9838905746870448,__all__,dnn,306.14543175697327,0.5358592135401549,0.9242040403478002,0.9467352263287373,mfcc45,215526,361083,6476654,0.0964845873516004,0.528202134407915,0.9242040403478002,0.972985122274506,0.6145774105382861,0.9242040403478002,0.9242040403478002,0.6712406508576049,,fluent_vs_I,binary
,,not_I,dnn,,0.9604138900331984,,,mfcc45,,,,,0.9877925987957092,,,0.934511963933715,,,,212054,fluent_vs_I,binary
,,I,dnn,,0.11130453704711131,,,mfcc45,,,,,0.06861167002012072,,,0.29464285714285715,,,,3472,fluent_vs_I,binary
0.8944396499726252,0.9995128197990034,__all__,dnn,28.57111096382141,0.47266468232874986,0.8944396499726252,0.9438160586287879,mfcc45,215526,19314,6476654,0.0006212653547028787,0.5000235544208149,0.8944396499726252,0.9990310875306686,0.5045528125325359,0.8944396499726252,0.8944396499726252,0.6154132295984762,,fluent_vs_P,binary
,,not_P,dnn,,0.9442755776102989,,,mfcc45,,,,,0.9995177749201477,,,0.8948199107793576,,,,215421,fluent_vs_P,binary
,,P,dnn,,0.0010537870472008782,,,mfcc45,,,,,0.000529333921482135,,,0.11428571428571428,,,,105,fluent_vs_P,binary
0.8995712814231229,0.994710614960608,__all__,dnn,180.18144416809082,0.4830556138689547,0.8995712814231229,0.9421677865717535,mfcc45,215526,203247,6476654,0.008501503734565652,0.502628416468149,0.8995712814231229,0.9900099670576857,0.5437928733563219,0.8995712814231229,0.8995712814231229,0.6175059034360224,,fluent_vs_PR,binary
,,not_PR,dnn,,0.9470765574455912,,,mfcc45,,,,,0.9952209906423913,,,0.9033752203968543,,,,214386,fluent_vs_PR,binary
,,PR,dnn,,0.019034670292318152,,,mfcc45,,,,,0.01003584229390681,,,0.18421052631578946,,,,1140,fluent_vs_PR,binary
0.910590833588523,0.9852593190612734,__all__,dnn,253.18779516220093,0.49142210173837536,0.910590833588523,0.9395242859633254,mfcc45,215526,443277,6476654,0.01622909936752828,0.5015944120390478,0.910590833588523,0.97123977594082,0.5078400275107893,0.910590833588523,0.910590833588523,0.5256781343766707,,fluent_vs_PWR,binary
,,not_PWR,dnn,,0.953136247786922,,,mfcc45,,,,,0.9855061530956584,,,0.9228251604669672,,,,212349,fluent_vs_PWR,binary
,,PWR,dnn,,0.029707955689828803,,,mfcc45,,,,,0.017682670982437212,,,0.09285489455461127,,,,3177,fluent_vs_PWR,binary
0.9128782606274881,0.972156491560183,__all__,dnn,364.06209206581116,0.48870217557612267,0.9128782606274881,0.9284726042108331,mfcc45,215526,350328,6476654,0.025763411315579694,0.4940746630008629,0.9128782606274881,0.9448472231751781,0.4873982057757108,0.9128782606274881,0.9128782606274881,0.4926176238256118,,fluent_vs_PhR,binary
,,not_PhR,dnn,,0.9544062763304544,,,mfcc45,,,,,0.9714297012476026,,,0.9379692160839995,,,,209525,fluent_vs_PhR,binary
,,PhR,dnn,,0.022998074821790938,,,mfcc45,,,,,0.016719624754123166,,,0.036827195467422094,,,,6001,fluent_vs_PhR,binary
0.938513218822787,0.9765550328034669,__all__,dnn,133.7982301712036,0.49842001113526146,0.938513218822787,0.9462214551485141,mfcc45,215526,237534,6476654,0.024128358425493747,0.4996138570429332,0.938513218822787,0.9541619588479302,0.49935466803118694,0.938513218822787,0.938513218822787,0.514813365501239,,fluent_vs_WR,binary
,,not_WR,dnn,,0.968251838719724,,,mfcc45,,,,,0.9765242561745845,,,0.9601183999847962,,,,210473,fluent_vs_WR,binary
,,WR,dnn,,0.028588183550799003,,,mfcc45,,,,,0.022703457911281873,,,0.03859093607757768,,,,5053,fluent_vs_WR,binary
0.8672225160769467,0.9120848528715793,__all__,dnn,1196.9144351482391,0.5205425254202335,0.8672225160769467,0.8565555267480737,mfcc45,215526,1614783,6476654,0.1145761540873056,0.5260242397634142,0.8672225160769467,0.8468526314756379,0.518803679982873,0.8672225160769467,0.8672225160769467,0.5232365978750978,,fluent_vs_disfluent,binary
,,Fluent,dnn,,0.9282413269975802,,,mfcc45,,,,,0.9152989115652986,,,0.9415550061553175,,,,196578,fluent_vs_disfluent,binary
,,Disfluent,dnn,,0.11284372384288681,,,mfcc45,,,,,0.1367495679615298,,,0.09605235381042854,,,,18948,fluent_vs_disfluent,binary
0.3785668550430111,0.9120848528715793,__all__,dnn,63.46506190299988,0.11154803968503482,0.3785668550430111,0.5140683981307209,mfcc45,215526,83694,6476654,,0.15030912609771999,0.3785668550430111,0.8355428487854222,0.1747962270614043,0.3785668550430111,0.3785668550430111,,,multiclass,multiclass
